"N_etrs89" "E_etrs89" "FE300ME" "BOTTOMCLS" "DIS_SAND" "ICELAST09" "RIVERS" "SAL910WIN" "DIST20M" "CHL_A" "TEMP09M" "SALT09M"
4452815 4750030 356 4 33 16 25021 5.7149 6000 28.03 4.72844697873346 4.30773295727238
4481171 4869286 36628 4 66 15 39326 5.6686 107396 28.42 5.93480908095277 4.64581523960875
4472731 4871060 31340 4 69 17 36129 5.6686 205279 28.26 5.97954402712535 4.70299126285603
4472937 4870861 31340 4 69 17 36129 5.6686 205279 28.26 5.97954402712535 4.70299126285603
4480802 4868939 48215 5 67 13 39274 5.6686 62485 28.36 5.92618274695379 4.66421201877639
4542492 4933065 26681 1 6 17 8743 4.4885 129338 39 5.39445607110894 3.41892453439138
4540855 4933287 9271 1 7 17 7851 4.4885 177338 39 5.4418461978109 3.41670998099094
4540746 4933096 9393 1 7 17 8185 4.4885 174852 39 5.4427815549196 3.4171895500441
4540577 4932635 14700 1 7 17 8787 4.4885 175882 39 5.44624334383471 3.41896445164778
4540613 4932437 14700 1 7 17 8875 4.4885 173396 39 5.44624334383471 3.41896445164778
4541272 4931848 38428 4 8 16 9560 4.4885 141941 39 5.38961080368398 3.42037603704399
4541173 4931997 38428 4 8 16 9014 4.4885 144426 39 5.38961080368398 3.42037603704399
4540742 4932158 40246 4 7 16 9175 4.4885 165941 39 5.44624334383471 3.41896445164778
4539723 4929997 22846 1 6 16 11754 4.4885 133455 39 5.41792675152631 3.44328663316896
4539720 4929821 22846 1 6 16 11816 4.4885 127455 39 5.41777368732513 3.44338793107182
4539508 4929284 7312 1 6 16 12557 4.4885 111941 39 5.41398919921784 3.44527881010231
4539402 4929179 12909 1 6 16 12557 4.4885 111941 39 5.41398919921784 3.44527881010231
4540187 4928387 33853 4 7 16 13437 4.4885 82970 38.96 5.32829063408709 3.46583336627361
4540228 4928524 43303 4 7 16 13779 4.4885 82970 38.96 5.32829063408709 3.46583336627361
4539667 4928749 30806 1 6 16 13085 4.4885 97455 39 5.39022525935279 3.45029802669987
4540426 4928848 12637 5 6 16 12450 4.4885 103455 38.96 5.39022525935279 3.45029802669987
4539202 4928346 21937 4 7 17 13936 4.4885 84426 39 5.35321908267303 3.46351137271186
4543792 4925659 64068 4 8 13 16482 4.4885 16970 38.8 5.00762360000808 3.5042647028873
4539892 4930832 17343 4 7 16 10686 4.4885 166367 39 5.44816774614788 3.4232731400604
4539944 4930621 28359 4 7 16 10986 4.4885 155396 39 5.44816774614788 3.4232731400604
4539720 4928765 30806 1 6 16 13085 4.4885 97455 39 5.39022525935279 3.45029802669987
4540454 4928476 43303 4 7 16 13025 4.4885 86485 38.96 5.32829063408709 3.46583336627361
4543690 4925910 57440 4 8 13 16493 4.4885 22970 38.8 5.00762360000808 3.5042647028873
4497092 4902221 515 5 42 18 15466 5.1143 605896 29.37 5.77700806499457 4.10253380778351
4497945 4899229 7696 4 41 18 18539 5.1143 464132 28.96 5.73340247473142 4.07711727894078
4497410 4901232 121 5 45 18 16060 5.1143 571955 29.37 5.7738054260821 4.09835136813218
4324050 4930452 62212 4 79 10 13817 6.406 155396 18.62 7.11549867131066 5.10598645882845
4323872 4930168 50165 4 79 10 13842 6.406 158911 18.62 7.01441457013977 5.09328969427854
4322014 4932459 35203 1 82 9 17023 6.4079 241455 19.29 7.24075716121177 5.14230198728136
4564457 4846914 290 4 35 18 15176 3.6144 205882 33.44 4.66186455891888 3.11446478903617
4567766 4846905 1809 5 34 16 14956 3.534 204852 33.45 4.65049800753455 3.12046686977576
4568417 4848729 112 4 34 16 10482 3.534 127455 33.56 4.62712099133571 3.1166949817899
4584915 4854570 22715 4 30 16 6348 3.5123 50485 35.03 4.39494925496058 3.03068532278289
4583479 4854910 7059 0 30 15 3391 3.5123 34970 34.98 4.39494925496058 3.03068532278289
4578904 4851393 543 4 32 16 2993 3.534 121455 34.35 4.45577446271306 3.06244770685832
4573024 4851049 4021 4 31 16 3389 3.534 87941 34.13 4.49577391939238 3.08580662264968
4560961 4846545 31762 4 28 18 9206 3.6144 170308 33.07 4.81797738439766 3.14331112894912
4581746 4853481 19087 4 30 16 589 3.5123 51941 34.69 4.4342331956867 3.04709081680363
4579606 4852488 6440 4 31 16 2877 3.534 62485 34.57 4.44291324071548 3.05080158540219
4575631 4851306 15834 4 31 16 330 3.534 126852 34.24 4.4455967000562 3.07259143374496
4608328 4858410 22893 3 26 17 4162 3.5144 118367 35.53 4.19695744500309 2.94955027806422
4606088 4858261 7012 4 25 17 6225 3.5144 67455 35.41 4.11787139725444 2.89436961724178
4609326 4862079 7162 4 27 15 4958 3.5318 65396 35.71 4.18849104399013 2.95199974567521
4604207 4857880 15065 4 26 16 4277 3.5177 42000 35.41 4.20150465784348 2.93343924031518
4465529 4744781 187 3 41 16 14228 5.6101 14485 28.46 4.48226061172847 4.27677195816184
4409714 4728249 8278 5 38 13 5232 5.7819 6000 29.15 5.12886122614145 4.1616514451576
4410032 4729111 8503 5 37 13 4138 5.7819 6000 29.15 5.12886122614145 4.1616514451576
4410660 4728247 37 4 38 13 5436 5.7819 14485 29.15 5.12886122614145 4.1616514451576
4407796 4730703 2156 3 36 9 6099 5.7819 6000 28.81 4.96663928615423 4.18990603102412
4413477 4735308 4996 4 41 9 14267 5.7819 12000 28.69 4.93507113587665 4.10853950184047
4415989 4733321 5193 5 42 9 10648 5.7644 6000 29.01 4.79677672785209 4.00765031317884
4445109 4739164 28 1 51 16 30745 5.7288 22970 28.52 5.06874198047893 4.40459741119806
4445146 4745924 65 5 45 15 26683 5.7149 72426 28.34 5.15581268206611 4.37450427529799
4439721 4739764 37 4 50 16 29486 5.7288 24000 28.59 5.07972391875404 4.28581815054922
4514462 4783934 20193 1 18 15 302 5.2406 26485 29.93 4.67374017353524 3.66379409482561
4501458 4783165 10528 5 20 17 7769 5.2406 67455 29.24 4.80953209432999 3.75255709507711
4304989 4933985 1481 5 90 15 8275 6.4681 300073 30.3 7.51686995769992 5.39254406726721
4304984 4933990 1481 5 90 15 8275 6.4681 300073 30.3 7.51686995769992 5.39254406726721
4305450 4934405 768 4 91 15 8210 6.4681 309587 30.3 7.51686995769992 5.39254406726721
4347849 4924249 42028 4 78 15 9015 6.3237 227396 20.41 6.87402079993182 4.83797965688019
4346683 4927403 16415 5 80 15 9509 6.3388 454367 18.25 6.87330040155035 4.75275368401499
4533090 4909637 19631 4 26 11 28331 4.6911 137823 38.47 5.11712499549895 3.615817973108
4532196 4909069 1640 5 27 17 27835 4.6911 231381 38.47 5.11342122906418 3.70420585942618
4530239 4908080 15946 5 26 17 25724 4.6911 170911 37.9 5.18349188154531 3.69537038719999
4530523 4910572 2568 4 26 17 26714 4.6911 146308 38.47 5.1333551747079 3.60674474986487
4529664 4910770 14896 5 24 17 24286 4.6911 148367 38.39 5.22144328940024 3.66027986675778
4531352 4906140 4546 4 31 17 28806 4.6911 81941 37.71 5.04048593740418 3.71628901049094
4532126 4905431 22340 4 29 9 29269 4.6911 31455 37.71 4.99777338972674 3.64794562317075
4532508 4905153 40059 5 29 9 29657 4.6911 22970 37.73 4.91812857430761 3.67211851403385
4532289 4906434 42009 5 28 13 29960 4.6911 55455 38.04 4.99777338972674 3.64794562317075
4526745 4909743 17540 4 25 17 21652 4.6911 152308 38.26 5.25365202168955 3.68448795424226
4522442 4908629 5643 0 25 16 17675 4.6911 148970 37.31 5.32396403959436 3.6803639581968
4520175 4890734 29681 4 47 16 33788 4.7126 37455 34.45 5.37440500556854 3.83017923519441
4520529 4891594 23803 5 45 13 32536 4.7126 26485 34.45 5.33973217834083 3.83413598099851
4520302 4888052 17868 4 50 13 36285 4.7126 84426 33.78 5.48259953684146 3.83472794632308
4521046 4906883 17625 4 28 16 17851 4.7172 191220 37.01 5.35408059789231 3.70337429550394
4519922 4906808 4350 4 29 16 17163 4.8881 225941 37.01 5.36204117655696 3.70626325042723
4530491 4909464 9590 5 25 17 26145 4.6911 183338 38.47 5.11342122906418 3.70420585942618
4598248 4952144 75365 5 27 16 15477 4.055 86911 42.35 4.75302053575556 3.28904261682437
4596435 4949810 59606 5 26 16 15221 4.055 78426 42.8 4.86318279134214 3.28315725600467
4590720 4950246 478 5 25 18 13617 4.1299 194735 43.82 4.99881224844945 3.27887733576253
4590452 4951749 75 4 26 17 13119 4.1299 250190 44.26 5.00097922990499 3.27405232217034
4593112 4946721 5409 5 25 16 16755 4.1299 68911 43.59 4.96475912271934 3.2913968915856
4592219 4945520 45084 5 24 18 18713 4.1299 51941 43.18 4.96145561588342 3.29484716949459
4591656 4945748 3215 4 24 18 17556 4.1299 63941 43.61 4.97640496580255 3.29716053930224
4586901 4948384 571 0 24 18 17844 4.1299 218308 44.18 5.02820152862786 3.32197464544128
4585863 4949299 309 4 25 18 18821 4.2078 270249 44.33 5.02820152862786 3.32197464544128
4586930 4942458 69843 5 19 16 22637 4.1305 31455 43.26 4.92854168930171 3.32485211997849
4585187 4947172 468 4 24 18 21208 4.2078 188735 43.99 5.02820152862786 3.32197464544128
4584108 4950001 703 5 26 18 21017 4.2078 331705 44.33 5.02342376169024 3.32130055531683
4583054 4942202 21487 5 17 18 24863 4.1305 62485 42.92 4.9381967128303 3.32934779506196
4579862 4942726 21075 4 16 18 28230 4.2262 102426 43.12 4.94308824671786 3.33167029384367
4573416 4940120 5887 1 9 18 25389 4.2262 31455 41.86 4.82478658496748 3.33174592583454
4576928 4941120 52640 4 12 17 29119 4.2262 33941 42.64 4.83435088591654 3.33521112665079
4540925 4933379 9271 1 7 17 7851 4.4885 177338 39 5.4418461978109 3.41670998099094
4540897 4933355 9271 1 7 17 7851 4.4885 177338 39 5.4418461978109 3.41670998099094
4542508 4933076 26681 1 7 17 8743 4.4885 129338 39 5.39445607110894 3.41892453439138
4540894 4933365 9271 1 7 17 7851 4.4885 177338 39 5.4418461978109 3.41670998099094
4540823 4933277 9271 1 7 17 8063 4.4885 177338 39 5.4418461978109 3.41670998099094
4540727 4933112 9393 1 7 17 8185 4.4885 174852 39 5.4427815549196 3.4171895500441
4540669 4933010 9393 1 7 17 8275 4.4885 178367 39 5.4427815549196 3.4171895500441
4540709 4933017 9393 1 7 17 8275 4.4885 178367 39 5.4427815549196 3.4171895500441
4541043 4932075 40246 4 7 16 9051 4.4885 152911 39 5.44624334383471 3.41896445164778
4538680 4935946 56 5 10 17 4394 4.5867 282676 39 5.44958215762574 3.41194722133385
4537992 4936634 346 4 11 17 4676 4.5867 314132 39 5.44958215762574 3.41194722133385
4536248 4925965 4462 4 10 17 17100 4.4753 63941 39 5.2751963489597 3.48669581241007
4536753 4925569 15403 4 12 17 19020 4.4753 28970 38.96 5.2751963489597 3.48669581241007
4538017 4925556 28865 4 10 17 16894 4.4753 22970 38.96 5.04036228693409 3.53458328441677
4539706 4928757 30806 1 6 16 13085 4.4885 97455 39 5.39022525935279 3.45029802669987
4540397 4928477 43303 4 7 16 13025 4.4885 86485 38.96 5.32829063408709 3.46583336627361
4540229 4928523 43303 4 7 16 13779 4.4885 82970 38.96 5.32829063408709 3.46583336627361
4541317 4931861 33046 4 8 16 9560 4.4885 141941 39 5.38961080368398 3.42037603704399
4543155 4926571 24478 4 8 15 15284 4.4885 44485 38.8 5.16634786167753 3.48025507276095
4543671 4925931 57440 4 8 13 16493 4.4885 22970 38.8 5.00762360000808 3.5042647028873
4544006 4936863 196 4 13 17 11875 4.5087 393161 39.02 5.30503208649492 3.08929345559696
4543993 4937812 28 4 13 17 10828 4.5087 394190 39.02 5.30503208649492 3.08929345559696
4543188 4931803 47981 5 7 16 10184 4.4885 86911 39 5.32605173879688 3.4197342793164
4541955 4938525 103 5 14 17 12275 4.5087 469102 39 5.32988080382347 3.01205525253758
4800066 4948316 51956 5 8 19 9014 3.3358 169455 36.49 3.29398956413134 1.94904553934167
4798464 4949908 1584 1 8 19 11123 3.3347 240852 36.59 3.33730735018215 1.92378303428893
4798924 4947777 56943 4 9 19 10176 3.3339 132000 36.32 3.35478046306786 1.91251174561878
4798757 4947737 56390 4 9 19 10680 3.3339 126000 36.32 3.35478046306786 1.91251174561878
4795344 4952667 10293 4 11 19 13103 3.3347 72426 36.62 3.62975654563496 1.65945469553172
4795335 4952627 10293 4 11 19 13103 3.3347 72426 36.62 3.62975654563496 1.65945469553172
4799571 4949928 1546 4 10 19 10161 3.3371 223882 36.59 3.21491486970828 1.97750237859228
4782563 4954738 11681 1 16 19 25255 3.3348 101396 36.33 3.78778013148214 2.15621826347036
4784703 4955294 32409 1 15 19 23428 3.3348 14485 36.27 3.75216451950642 2.08960940566489
4783151 4954961 23653 1 16 19 25053 3.3348 40970 36.33 3.78192647687828 2.14827496801027
4781431 4956137 27871 2 17 19 26792 3.3348 42426 36.33 3.79850838702054 2.1732911224435
4781197 4956668 75093 4 17 19 26830 3.3348 45941 36.42 3.79485156433377 2.16128782574719
4785806 4956763 32906 4 15 19 22255 3.3348 6000 36.49 3.73981220062705 1.95508572496902
4804178 4955014 1265 1 10 20 2898 3.3371 382190 37.01 3.55484118573492 1.38954258306385
4799056 4955682 58012 5 11 19 9292 3.3347 209220 37.12 3.63725263326524 1.52306989528281
4785650 4956866 49500 4 15 19 22306 3.3348 6000 36.49 3.73981220062705 1.95508572496902
4798792 4949087 2878 1 8 19 10500 3.3339 218911 36.49 3.33730735018215 1.92378303428893
4782985 4954665 25678 1 15 19 24743 3.3348 89396 36.33 3.78192647687828 2.14827496801027
4736355 5019987 6843 1 8 19 26257 3.3589 262617 22.98 3.90070326672121 2.25181902801532
4737399 5027559 24693 1 9 19 18716 3.3589 160970 20.87 3.81585234506934 2.13351054846454
4735705 5028251 14156 1 7 19 17958 3.3589 211455 20.71 3.82441827369137 2.12096370633683
4734428 5025464 1246 1 5 19 21344 3.3589 324852 21.35 3.83823042511148 2.15418424585599
4733094 5018270 4696 4 11 19 23546 3.3564 545823 23.17 3.91993665856725 2.22481179101721
4730643 5005544 22678 1 8 18 21589 3.3521 202970 27.44 4.08756678149134 2.50606575015295
4730155 5005894 19218 1 8 18 21014 3.3521 213941 26.53 4.09650271260864 2.504325645836
4725525 4861749 10246 1 6 18 1261 3.3656 104911 33.35 3.40933929391995 2.00208290201995
4725563 4861897 10246 1 6 18 1473 3.3656 104911 33.35 3.40933929391995 2.00208290201995
4725688 4862598 11221 1 7 18 2352 3.3656 86911 33.35 3.40933929391995 2.00208290201995
4726870 4863227 6693 1 7 18 3601 3.3656 83396 33.21 3.41347186054423 2.00159421509189
4726316 4866646 7462 4 6 19 6381 3.3656 62911 33.17 3.42559059097361 2.02514307938769
4723841 4880614 75206 5 10 16 23272 3.3693 39941 33.12 3.9732967381892 2.40145466751334
4723768 4880833 74231 5 10 16 23422 3.3693 30000 33.12 3.9732967381892 2.40145466751334
4723869 4880560 75206 5 10 16 23122 3.3693 39941 33.12 3.9732967381892 2.40145466751334
4723625 4879818 74568 1 9 18 22584 3.3693 50485 33.16 3.9713553170071 2.35073263262053
4723504 4879843 74568 1 12 18 22584 3.3693 59396 33.16 3.9713553170071 2.35073263262053
4725153 4876783 61940 2 8 18 19346 3.3676 42426 33.09 3.73853666707229 2.15494617467172
4724687 4877909 65456 2 8 18 20199 3.3676 39941 33.06 3.98237066248642 2.33192723067932
4725106 4876400 54553 3 9 18 19426 3.3676 62911 33.09 3.73853666707229 2.15494617467172
4727649 4872470 20437 1 5 18 18744 3.3676 128911 33.03 3.64648541286888 2.06619841655462
4723034 4881628 75346 5 12 16 22037 3.3693 26485 33.5 3.99179063977364 2.4419608321577
4723154 4881749 75365 5 12 16 22399 3.3693 18000 33.5 3.92981537829071 2.44699695133767
4723619 4879783 74568 1 9 18 22434 3.3693 50485 33.16 3.9713553170071 2.35073263262053
4774011 4946863 91708 4 17 18 34806 3.3354 22970 36.61 3.54151041429809 2.58287088341664
4774250 4947470 92606 4 17 18 34966 3.3354 33941 36.49 3.61628386289583 2.54119821276185
4774006 4947261 91996 4 17 18 34992 3.3354 33941 36.61 3.57641244780345 2.56804786399507
4774302 4948000 90562 1 16 18 34913 3.3354 36000 36.35 3.61628386289583 2.54119821276185
4725533 4861696 10246 1 6 18 1261 3.3656 104911 33.35 3.40933929391995 2.00208290201995
4725570 4861775 10246 1 6 18 1261 3.3656 104911 33.35 3.40933929391995 2.00208290201995
4726778 4863117 384 1 7 18 3389 3.3656 83396 33.21 3.41347186054423 2.00159421509189
4723528 4879891 74568 1 12 18 22584 3.3693 59396 33.16 3.9713553170071 2.35073263262053
4723579 4879875 74568 1 12 18 22584 3.3693 59396 33.16 3.9713553170071 2.35073263262053
4723069 4881678 75721 5 12 16 22037 3.3693 18000 33.5 3.9664803518318 2.47418952240467
4733311 4866979 5400 1 11 19 17313 3.3547 118367 33 3.24014648626462 1.55146260588427
4731695 4866464 131 1 12 19 18842 3.3547 162249 33.03 3.24014648626462 1.55146260588427
4733022 4866467 150 3 17 18 14703 3.3547 192852 33.03 3.24014648626462 1.55146260588427
4725141 4876381 54553 3 9 18 19426 3.3676 62911 33.09 3.73853666707229 2.15494617467172
4736601 4870135 1237 4 10 19 14038 3.3527 8485 33 3.41005027690004 1.77536509713564
4738775 4865420 10809 3 14 19 9818 3.3429 52970 33 3.17509794917948 1.57274659152853
4726125 4881212 71718 5 11 18 23736 3.3693 8485 33.12 3.91423279092559 2.35682184391269
4741324 4867135 18900 4 14 19 8752 3.3429 64970 33 3.27438350855311 1.74482631337375
4733045 4879205 65915 4 12 18 24169 3.3516 66000 33 3.67510961306604 2.09674299421065
4781364 4919810 62250 4 10 20 26747 3.3341 50911 34.23 3.37930204418245 2.3788343993211
4782517 4919516 58528 5 10 20 26459 3.3341 75941 34.24 3.35625168697692 2.3284686692166
4782643 4918165 55631 1 9 19 26695 3.3341 58970 34.24 3.36705952874067 2.37327682688876
4785863 4921645 4884 1 10 19 21308 3.3331 76367 34.39 3.2081307405572 2.18040130733546
4784744 4920225 51450 5 11 19 24372 3.3341 117941 34.39 3.28470646892456 2.2714303617391
4784380 4916745 6178 4 10 19 26472 3.3341 25455 34.16 3.28146267987371 2.27780007810531
4786534 4915194 534 1 11 19 29026 3.332 86485 34.18 3.35607057589699 2.27603233944286
4794131 4917535 28 1 10 19 25515 3.332 45941 34.62 2.99089604255367 1.9798683282312
4788755 4922977 33900 5 9 21 17837 3.3331 6000 34.57 3.21342087148181 2.21951972829189
4790380 4923112 41109 4 10 20 16661 3.3331 56485 34.83 3.2160732385909 2.22517633742317
4796125 4914209 1143 4 14 19 21295 3.3321 70970 34.65 2.91294454538061 1.86477911119203
4788000 4913429 7584 5 12 19 27769 3.332 183941 34.2 3.19426570776286 2.30860849582788
4790406 4914956 234 3 14 19 26652 3.332 109882 34.52 3.17928488860189 1.95236570184881
4794648 4902342 140 5 14 20 16475 3.3293 178970 34.1 2.73736351607605 1.62296507482128
4793353 4902438 1359 2 10 20 18313 3.3293 400617 34.1 2.73539192178293 1.65696829453556
4793143 4903020 506 4 13 20 17235 3.3302 186852 34.09 2.73531196525252 1.64758980725176
4787340 4923506 52359 0 10 21 19000 3.3331 14485 34.57 3.28163375873941 2.22545507283888
4632045 4875697 7443 4 17 16 11541 3.5246 142793 36.4 4.06370474584401 2.79378563707525
4633353 4875988 10068 5 17 16 13630 3.5246 157455 36.31 4.01228661767461 2.77937772057273
4638737 4879621 7950 4 15 16 17978 3.5348 82970 36.31 3.96235788527845 2.71703556837604
4639614 4875877 281 3 17 18 11695 3.4898 268617 35.97 4.02550905912429 2.50207268588789
4301013 4716506 54937 1 42 7 13154 5.9038 14485 37.08 5.7429354764215 4.85427063204492
4310194 4718946 56 4 41 7 21333 5.9088 60426 35.14 5.81689757399157 4.72560132760353
4309909 4719399 56 4 41 7 22333 5.9088 26485 35.17 5.74191536444597 4.73957816279282
4315423 4711119 6571 4 44 7 14204 5.8861 48000 35.48 5.75598811583255 4.59349801619596
4315851 4711340 6571 4 45 7 13744 5.8861 6000 35.48 5.73542887398467 4.58948230734698
4605486 4974760 7125 4 10 17 18300 3.9841 130793 42.57 4.78750745999394 3.19023940167575
4617025 4973572 9450 4 6 18 11004 3.9186 103455 41.41 4.870942195878 3.14844056151719
4614301 4979266 27928 4 7 17 4385 3.8883 242308 41.3 4.98994634493466 3.04524969284508
4536965 4817434 11296 4 14 13 4687 4.557 88970 30.99 4.90859337748549 3.04455982205895
4536102 4818395 17756 4 12 13 5595 4.557 74485 30.96 4.89633429279307 3.0616499713568
4537236 4818134 14475 0 12 13 5613 4.557 87941 30.99 4.89633429279307 3.0616499713568
4542016 4817355 32465 1 11 13 577 4.2524 144249 31.07 4.89799946971076 2.91916681481843
